Web Exception :

Need To Fix Count : 249
Report
Checked	NO	Method	TestDescription	RequestBody	Your Response	CorrectResponse
Checked	Sports-2-4	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"520.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00
Checked	Sports-2-5	GetBetStatus	Get-bet-status-again-should-Settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Settled
Checked	Sports-2-6	Settle	2nd-time-settle-should-be-failed	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"875476","WinLoss":30.0,"ResultType":0,"ResultTime":"2026-05-29T17:41:18.89829-04:00","ProductType":1,"GameType":1,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":false,"ExtraInfo":{"sportType":"Basketball","marketType":"Over_Under","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"Goal","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":true}}	{"AccountName":"swrun_1780089828793_831710","Balance":520,"ErrorCode":2001,"ErrorMessage":"Already settled"}	Values should be: ErrorCode: 2001
Checked	Sports-2-7	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"520.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00
Checked	Sports-2-8	GetBetStatus	Get-bet-status-again-should-Settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Settled
Checked	Sports-2-9	Deduct	Deduct-after-settle-should-be-failed	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":10.0,"TransferCode":"875476","TransactionId":"875476","BetTime":"2026-05-29T17:41:19.89829-04:00","ProductType":1,"GameType":1,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":520,"ErrorCode":5003,"ErrorMessage":"Duplicate transaction"}	Values should be: ErrorCode: 5003
Need to fix !	Sports-2-10	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00
Checked	Sports-2-11	GetBetStatus	Get-bet-status-again-should-Settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Settled
Checked	Sports-3-1	GetBalance	Get-balance-before-cancelled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be:
Checked	Sports-3-2	GetBetStatus	Check-bet-status-should-be-running-or-settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Settled
Checked	Sports-3-3	Cancel	1st-time-cancel-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"875476","ProductType":1,"GameType":1,"IsCancelAll":true,"TransactionId":"875476","Gpid":-1,"ExtraInfo":{"sportType":"Basketball","marketType":"Over_Under","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"Goal","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 500.00
Checked	Sports-3-4	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 500.00
