Web Exception :

Need To Fix Count : 249
Report
Checked	NO	Method	TestDescription	RequestBody	Your Response	CorrectResponse
Checked	Sports-11-17	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547611","TransactionId":"87547611","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547611","TransactionId":"87547611","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547611, TransactionId: 87547611, Status: Running
Need to fix !	sport-11-18	Settle	Settle-cashout-draw-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547611","WinLoss":10.0,"ResultType":2,"ResultTime":"2026-05-29T17:41:38.89829-04:00","ProductType":1,"GameType":1,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":true,"ExtraInfo":{"sportType":"Basketball","marketType":"Over_Under","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"Goal","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":true}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 510.00
Checked	sport-11-19	GetBetStatus	Get-bet-status-again-should-Settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547611","TransactionId":"87547611","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547611","TransactionId":"87547611","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547611, TransactionId: 87547611, Status: Settled
Need to fix !	Sports-11-20	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 510.00
Need to fix !	Sports-11-21	Cancel	Cancel-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547611","ProductType":1,"GameType":1,"IsCancelAll":true,"TransactionId":"87547611","Gpid":-1,"ExtraInfo":{"sportType":"Basketball","marketType":"Over_Under","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"Goal","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":490,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 510.00
Checked	Sports-11-22	GetBetStatus	Get-bet-status-again-should-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547611","TransactionId":"87547611","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547611","TransactionId":"87547611","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547611, TransactionId: 87547611, Status: Void
Need to fix !	Sports-11-23	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 510.00
Checked	Sports-12-1	GetBalance	Get Not Exist Player Balance Should Fail	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710_ER","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"","Balance":"0.00000","ErrorCode":1,"ErrorMessage":"Member not found"}	Values should be: ErrorCode: 1
Checked	Sports-12-2	GetBalance	Use Wrong Company Key Should Fail	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8CER","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"","Balance":"0.00000","ErrorCode":4,"ErrorMessage":"Invalid CompanyKey"}	Values should be: ErrorCode: 4
Checked	Sports-12-3	GetBetStatus	Use Empty Username Should Fail	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"", "TransferCode":"87547612","TransactionId":"87547612","ProductType":1,"GameType":1,"Gpid":-1}	{"ErrorCode":"3","ErrorMessage":"Username is required"}	Values should be: ErrorCode: 3
Checked	Sports-12-4	Deduct	Deduct Biggest Amount Should Fail	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":511.00,"TransferCode":"87547612","TransactionId":"87547612","BetTime":"2026-05-29T17:41:39.89829-04:00","ProductType":1,"GameType":1,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":{"sportType":"Basketball","marketType":"Over_Under","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"Goal","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":5,"ErrorMessage":"Insufficient balance"}	Values should be: ErrorCode: 5
Checked	Sports-12-5	Settle	Settle Not Exists bet, Should fail	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547612","WinLoss":30.0,"ResultType":0,"ResultTime":"2026-05-29T17:41:40.89829-04:00","ProductType":1,"GameType":1,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":false,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":true}}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":6,"ErrorMessage":"Reference not found"}	Values should be: ErrorCode: 6
Checked	Sports-12-6	Cancel	Cancel Not Exists bet, Should fail	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547612","ProductType":1,"GameType":1,"IsCancelAll":true,"TransactionId":"87547612","Gpid":-1,"ExtraInfo":{"sportType":"Soccer","marketType":"First_Half_C_S","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"0:1","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":6,"ErrorMessage":"Reference not found"}	Values should be: ErrorCode: 6
Checked	Sports-12-7	Rollback	Rollback Not Exists bet, Should fail	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547612","ProductType":1,"GameType":1,"Gpid":-1,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":"520.00","ErrorCode":6,"ErrorMessage":"Reference not found"}	Values should be: ErrorCode: 6
Checked	Sports-13-1	GetBetStatus	Get-bet-status-should-not-exist	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547613","TransactionId":"87547613","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547613","TransactionId":"87547613","Status":"Unknown","ErrorCode":"6","ErrorMessage":"Bet not found"}	Values should be: ErrorCode: 6
Need to fix !	Sports-13-2	Deduct	1st-time-deduct-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":10.0,"TransferCode":"87547613","TransactionId":"87547613","BetTime":"2026-05-29T17:41:41.89829-04:00","ProductType":1,"GameType":1,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":{"sportType":"Soccer","marketType":"First_Half_C_S","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"0:1","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":480,"ErrorCode":"0","ErrorMessage":"No Error","BetAmount":"10.0"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, BetAmount: 10.0, Balance: 500.00
Checked	Sports-13-3	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547613","TransactionId":"87547613","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547613","TransactionId":"87547613","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547613, TransactionId: 87547613, Status: Running
Need to fix !	Sports-13-4	Settle	Concurrent settle requests should have one success and one failure with error code 2001	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547613","WinLoss":30.0,"ResultType":0,"ResultTime":"2026-05-29T17:41:42.89829-04:00","ProductType":1,"GameType":1,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":false,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":true}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":"0","ErrorMessage":"No Error"},{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":2001,"ErrorMessage":"Already settled"}	Response 1 Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 530.00, Response 2 Values should be: ErrorCode: 2001, Balance: 530.00
Need to fix !	Sports-13-5	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 530.00
Checked	Sports-13-6	GetBetStatus	Get-bet-status-again-should-Settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547613","TransactionId":"87547613","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547613","TransactionId":"87547613","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547613, TransactionId: 87547613, Status: Settled
Checked	Sports-14-1	GetBetStatus	Get-bet-status-should-not-exist	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547614","TransactionId":"87547614","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547614","TransactionId":"87547614","Status":"Unknown","ErrorCode":"6","ErrorMessage":"Bet not found"}	Values should be: ErrorCode: 6
Need to fix !	Sports-14-2	Deduct	1st-time-deduct-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":10.0,"TransferCode":"87547614","TransactionId":"87547614","BetTime":"2026-05-29T17:41:43.89829-04:00","ProductType":1,"GameType":1,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":480,"ErrorCode":"0","ErrorMessage":"No Error","BetAmount":"10.0"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, BetAmount: 10.0, Balance: 520.00
Checked	Sports-14-3	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547614","TransactionId":"87547614","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547614","TransactionId":"87547614","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547614, TransactionId: 87547614, Status: Running
Need to fix !	Sports-14-4	Cancel	Concurrent cancel requests should have one success and one failure with error code 2002	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547614","ProductType":1,"GameType":1,"IsCancelAll":true,"TransactionId":"87547614","Gpid":-1,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":520,"ErrorCode":"0","ErrorMessage":"No Error"},{"AccountName":"swrun_1780089828793_831710","Balance":520,"ErrorCode":2002,"ErrorMessage":"Already canceled"}	Response 1 Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 530.00, Response 2 Values should be: ErrorCode: 2002, Balance: 530.00
Need to fix !	Sports-14-5	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"520.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 530.00
Checked	Sports-14-6	GetBetStatus	Get-bet-status-again-should-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547614","TransactionId":"87547614","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547614","TransactionId":"87547614","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547614, TransactionId: 87547614, Status: Void
Checked	Sports-15-1	GetBetStatus	Get-bet-status-should-not-exist	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547615","TransactionId":"87547615","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547615","TransactionId":"87547615","Status":"Unknown","ErrorCode":"6","ErrorMessage":"Bet not found"}	Values should be: ErrorCode: 6
Need to fix !	Sports-15-2	Deduct	1st-time-deduct-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":10.0,"TransferCode":"87547615","TransactionId":"87547615","BetTime":"2026-05-29T17:41:44.89829-04:00","ProductType":1,"GameType":1,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":{"sportType":"Soccer","marketType":"First_Half_C_S","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"0:1","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":510,"ErrorCode":"0","ErrorMessage":"No Error","BetAmount":"10.0"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, BetAmount: 10.0, Balance: 520.00
Need to fix !	Sports-15-3	Settle	1st-time-settle-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547615","WinLoss":30.0,"ResultType":0,"ResultTime":"2026-05-29T17:41:45.89829-04:00","ProductType":1,"GameType":1,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":false,"ExtraInfo":{"sportType":"Basketball","marketType":"Over_Under","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"Goal","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":true}}	{"AccountName":"swrun_1780089828793_831710","Balance":530,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 550.00
Checked	Sports-15-4	GetBetStatus	Get-bet-status-again-should-Settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547615","TransactionId":"87547615","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547615","TransactionId":"87547615","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547615, TransactionId: 87547615, Status: Settled
Need to fix !	Sports-15-5	Rollback	Concurrent rollback requests should have one success and one failure with error code 2003	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"87547615","ProductType":1,"GameType":1,"Gpid":-1,"ExtraInfo":{"sportType":"Basketball","marketType":"Over_Under","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"Goal","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":2003,"ErrorMessage":"Already rollback"},{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":"0","ErrorMessage":"No Error"}	Response 1 Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00, Response 2 Values should be: ErrorCode: 2003, Balance: 520.00
Need to fix !	Sports-15-6	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 520.00
Checked	Sports-15-7	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"87547615","TransactionId":"87547615","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"87547615","TransactionId":"87547615","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 87547615, TransactionId: 87547615, Status: Running
Checked	Games-19-1	GetBalance	Get-balance-before-deduct	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":3,"GameType":201,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	
Checked	Games-19-2	GetBetStatus	Get-bet-status-should-not-exist	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"T875478","TransactionId":"T875478","ProductType":3,"GameType":201,"Gpid":-1}	{"TransferCode":"T875478","TransactionId":"T875478","Status":"Unknown","ErrorCode":"6","ErrorMessage":"Bet not found"}	Values should be: ErrorCode: 6
Need to fix !	Games-19-3	Deduct	1st-time-deduct-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":10.0,"TransferCode":"T875478","TransactionId":"T875478","BetTime":"2026-05-29T17:41:46.89829-04:00","ProductType":3,"GameType":201,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":null}	{"AccountName":"swrun_1780089828793_831710","Balance":490,"ErrorCode":"0","ErrorMessage":"No Error","BetAmount":"10.0"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, BetAmount: 10.0, Balance: 510.00
Need to fix !	Games-19-4	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":3,"GameType":201,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 510.00
Checked	Games-19-5	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"T875478","TransactionId":"T875478","ProductType":3,"GameType":201,"Gpid":-1}	{"TransferCode":"T875478","TransactionId":"T875478","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: T875478, TransactionId: T875478, Status: Running
Checked	Games-19-6	Deduct	2nd-time-deduct-should-be-failed	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":5.0,"TransferCode":"T875478","TransactionId":"T875478","BetTime":"2026-05-29T17:41:47.89829-04:00","ProductType":3,"GameType":201,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":null}	{"AccountName":"swrun_1780089828793_831710","Balance":490,"ErrorCode":7,"ErrorMessage":"Duplicate transaction"}	Values should be: ErrorCode: 7
Need to fix !	Games-19-7	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":3,"GameType":201,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 510.00
Checked	Games-19-8	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"T875478","TransactionId":"T875478","ProductType":3,"GameType":201,"Gpid":-1}	{"TransferCode":"T875478","TransactionId":"T875478","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: T875478, TransactionId: T875478, Status: Running
Need to fix !	Games-19-9	Deduct	3rd-time-deduct-bigger-amount-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":20.0,"TransferCode":"T875478","TransactionId":"T875478","BetTime":"2026-05-29T17:41:48.89829-04:00","ProductType":3,"GameType":201,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":null}	{"AccountName":"swrun_1780089828793_831710","Balance":450,"ErrorCode":"0","ErrorMessage":"No Error","BetAmount":"20.0"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, BetAmount: 20.0, Balance: 500.00
Need to fix !	Games-19-10	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":3,"GameType":201,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"450.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 500.00
Checked	Games-19-11	GetBetStatus	Get-bet-status-again-should-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"T875478","TransactionId":"T875478","ProductType":3,"GameType":201,"Gpid":-1}	{"TransferCode":"T875478","TransactionId":"T875478","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: T875478, TransactionId: T875478, Status: Running
Checked	Games-6-1	GetBalance	Get-balance-before-deduct	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":3,"GameType":201,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"450.00","ErrorCode":"0","ErrorMessage":"No Error"}	
Checked	Games-6-2	GetBetStatus	Check-bet-status-should-be-running	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"T875478","TransactionId":"T875478","ProductType":3,"GameType":201,"Gpid":-1}	{"TransferCode":"T875478","TransactionId":"T875478","Status":"Running","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: T875478, TransactionId: T875478, Status: Running
Need to fix !	Games-6-3	Settle	1st-time-settle-should-be-success	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"T875478","WinLoss":30.0,"ResultType":0,"ResultTime":"2026-05-29T17:41:49.89829-04:00","ProductType":3,"GameType":201,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":false,"ExtraInfo":null}	{"AccountName":"swrun_1780089828793_831710","Balance":510,"ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 530.00
Need to fix !	Games-6-4	GetBalance	Get-balance-again-should-different-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":3,"GameType":201,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"510.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 530.00
Checked	Games-6-5	GetBetStatus	Get-bet-status-again-should-settled	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"T875478","TransactionId":"T875478","ProductType":3,"GameType":201,"Gpid":-1}	{"TransferCode":"T875478","TransactionId":"T875478","Status":"Settled","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: T875478, TransactionId: T875478, Status: Settled
